model,ram_delta_mb,cpu_time_sec,wall_time_sec
KNN,2034.4921875,10121.289999999999,1163.0505781173706
KNN_Inference,60.953125,1402.2199999999975,141.90364027023315
KNN_Inference_pi,290.609375,5344.74,1408.2258687019348
RF,2358.29296875,1619.48,116.39180564880371
RF_Inference,6.48046875,17.460000000000036,7.954515218734741
RF_Inference_pi,1464.9375,51.85,65.14920043945312
LR,233.83203125,69.41,42.31320834159851
LR_Inference,36.73046875,9.419999999999959,7.423206806182861
LR_Inference_pi,1632.625,27.53,30.785576105117798
