n_estimators,train_accuracy,val_accuracy,overfit_gap
10,0.9998666666666667,0.9990375,0.0008291666666666586
25,0.9998875,0.9990875,0.0008000000000000229
50,0.9999041666666667,0.9991875,0.0007166666666666988
75,0.9999083333333333,0.99915,0.0007583333333333053
100,0.9999083333333333,0.999175,0.0007333333333332526
150,0.9999083333333333,0.9991625,0.0007458333333333345
200,0.9999083333333333,0.9992,0.0007083333333333108
